_id,categoria,link,nombre,puntuacion,ubicacion
Cardamomo Tablao Flamenco,Bares y discotecas • Cenas con espectáculo • Teatros y actuaciones,http://cardamomo.com/?utm_source=Tripadvisor&utm_medium=Perfil%20cardamomo%20tablao%20flamenco&utm_campaign=link%20en%20el%20perfil,Cardamomo Tablao Flamenco,4.5,"C/ Echegaray, 15 Barrio de Las Letras - Puerta del Sol, 28014 Madrid España"
Casita Museo de Ratón Pérez,Museos especializados,http://www.casamuseoratonperez.es/,Casita Museo de Ratón Pérez,4.0,"C/ Areanal, 8 1a planta, 28013 Madrid España"
Madrid Terror,Juegos de escape • Teatros • Atracciones y actividades,http://www.madridterror.com/,Madrid Terror,5.0,"Paseo de la Esperanza, 28005 Madrid España"
Calle de las Huertas,Puntos emblemáticos y de interés,null,Calle de las Huertas,4.5,"Calle de las Huertas, Madrid Spain, 28014 Madrid España"
Calle de Fuencarral,Puntos emblemáticos y de interés,null,Calle de Fuencarral,4.5,"Calle Fuencarral Entre los barrios de Chueca y Malasaña, 28004 Madrid España"
Essential Flamenco,Bares y discotecas • Teatros y actuaciones,http://essentialflamenco.com/,Essential Flamenco,5.0,"Calle de la Cruz 26, 28012 Madrid España"
Monumento a Felipe IV,Monumentos y estatuas,https://www.tripadvisor.es/RestaurantsNear-g187514-d2261632-Monumento_a_Filippo_IV-Madrid.html,Monumento a Felipe IV,4.0,no disponible
Teatros Luchana,Teatros,http://teatrosluchana.es/,Teatros Luchana,4.0,"Calle Luchana 38, 28010 Madrid España"
Palacio de Gaviria,Puntos emblemáticos y de interés • Interés arquitectonico • Museos de arte,http://revolucionariosmadrid.com/,Palacio de Gaviria,4.5,"Calle del Arenal 9, 28013 Madrid España"
Congreso de los Diputados,Puntos emblemáticos y de interés,http://www.congreso.es/,Congreso de los Diputados,4.0,"Plaza de las Cortes, núm. 1, 28026 Madrid España"
Iglesia de San Isidro,Iglesias y catedrales,http://www.osmtj.org/,Iglesia de San Isidro,4.0,"Calle de Toledo 37, 28005 Madrid España"
Centro Comercial La Vaguada,Centros comerciales,http://enlavaguada.com/,Centro Comercial La Vaguada,4.0,"Avenida Monforte de Lemos 36, 28029 Madrid España"
Iglesia castrense de Madrid,Iglesias y catedrales,http://www.arzobispadocastrense.com/index.php/arzobispado/iglesia-catedral-de-las-fas,Iglesia castrense de Madrid,4.0,"Calle Sacramento 11, 28005 Madrid España"
